#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
002012722-02 002012722 02   1.16278875 131.83712978     8.4611       9.2   0.6656    0.875   2.724  7046 3.831    0.02650 0.002943   11.34      3.3  23341.847
002012722-03 002012722 03   1.16288239 132.06694073     8.5056      20.9   0.5071    1.345   2.724  7046 3.831    0.02650 0.004524   15.22      5.4  23339.340
002012821-01 002012821 01 377.84912138 507.99415064     8.1412     533.3   3.0564    2.400   0.883  6147 4.396    0.91177 0.024913  446.34      7.7      1.200
002015135-01 002015135 01 384.96083355 146.40342851     8.0227    2317.6   3.1386    2.751   0.536  4748 4.715    0.84544 0.047040  731.40      7.2      0.183
002015501-01 002015501 01   2.63735199 132.00383997     8.7620       8.6  10.5680    0.974   2.830  7543 3.865    0.04816 0.003155    1.24      9.5  10016.230
002015501-02 002015501 02 250.09863217 173.05602214    18.8934     156.7   8.7180    6.934   2.830  7543 3.865    1.00145 0.022454   46.80      9.0     23.162
002015501-03 002015501 03 351.84316983 185.54671450    10.8065      64.3   4.6764    2.633   2.830  7543 3.865    1.25734 0.008526  262.55      4.6     14.694
002015501-04 002015501 04 259.17637038 204.88565186     7.8640      89.3   3.3136    3.106   2.830  7543 3.865    1.02554 0.010057  273.93      7.3     22.087
002015501-05 002015501 05 268.60305035 190.83047380     7.6750      82.9  18.4598    2.821   2.830  7543 3.865    1.05026 0.009136   71.00      7.3     21.059
002017224-01 002017224 01 289.35551019 286.66262258     9.7303     814.9   3.0192    4.039   1.307  6056 4.244    0.88207 0.028321  523.28      7.0      2.646
002018261-01 002018261 01   1.69116385 132.06316839    10.4063      24.0   7.3616    1.848   2.935  7516 3.800    0.03491 0.005771    1.07     11.8  20214.636
