tce,keep,onEB,onCum,onOther
002833709-06,True,False,False,False
002833709-07,True,False,False,False
002834483-01,True,False,False,False
002835893-01,True,False,False,False
002837018-01,True,False,False,False
002849559-01,True,False,False,False
002849805-01,False,False,True,False
002849955-01,True,False,False,False
002852560-01,False,True,True,False
002852942-01,True,False,False,False
002852961-01,True,False,False,False
002853093-01,False,False,True,False
002853280-01,True,False,False,False
002853280-02,True,False,False,False
002853280-03,True,False,False,False
002853280-04,True,False,False,False
002853280-05,True,False,False,False
002853280-06,True,False,False,False
002853280-07,True,False,False,False
002853280-08,True,False,False,False
002853780-01,False,False,True,False
002853780-02,False,False,True,False
002853828-01,False,False,True,False
002853910-01,True,False,False,False
002854181-01,False,False,True,False
002854181-02,False,False,True,False
002854698-01,False,False,True,False
002854698-02,False,False,True,False
002854839-01,True,False,False,False
002854839-02,True,False,False,False
002854839-03,True,False,False,False
002854839-04,True,False,False,False
002854914-01,False,False,True,False
002854914-02,False,False,True,False
002854914-03,False,False,True,False
002854914-04,False,False,True,False
002854914-05,False,False,True,False
002854948-01,False,True,True,False
002854948-02,False,True,True,False
002854953-01,True,False,False,False
002854953-02,True,False,False,False
002854953-03,True,False,False,False
002854953-04,True,False,False,False
002855026-01,True,False,False,False
002855026-02,True,False,False,False
002855415-01,True,False,False,False
002855603-01,True,False,False,False
002855603-02,True,False,False,False
002855603-03,True,False,False,False
002855603-04,True,False,False,False
002855603-05,True,False,False,False
002855603-06,True,False,False,False
002855603-07,True,False,False,False
002856756-01,True,False,False,False
002856826-01,True,False,False,False
002857323-01,True,False,False,False
002857323-02,True,False,False,False
002857323-03,True,False,False,False
002857323-04,True,False,False,False
002858134-01,True,False,False,False
002859995-01,True,False,False,False
002860114-01,False,False,True,False
002860114-02,False,False,True,False
002860579-01,True,False,False,False
002860579-02,True,False,False,False
002860579-03,True,False,False,False
002860579-04,True,False,False,False
002860579-05,True,False,False,False
002860579-06,True,False,False,False
002860579-07,True,False,False,False
002860594-01,False,True,True,False
002860594-02,False,True,True,False
002860788-01,False,True,True,False
002860788-02,False,True,True,False
002860793-01,False,False,True,False
002860793-02,False,False,True,False
002860851-01,True,False,False,False
002860851-02,True,False,False,False
002860866-01,False,False,True,False
002860866-02,False,False,True,False
002860866-03,False,False,True,False
002860936-01,True,False,False,False
002865498-01,True,False,False,False
002968811-01,True,False,False,False
002968811-02,True,False,False,False
002968811-03,True,False,False,False
002968811-04,True,False,False,False
002968811-05,True,False,False,False
002968811-06,True,False,False,False
002969628-01,True,False,False,False
002969628-02,True,False,False,False
002969991-01,True,False,False,False
002969991-02,True,False,False,False
002969991-03,True,False,False,False
002969991-04,True,False,False,False
002969991-05,True,False,False,False
002969991-06,True,False,False,False
002969991-07,True,False,False,False
002970580-01,True,False,False,False
002970580-02,True,False,False,False
002970580-03,True,False,False,False
002970580-04,True,False,False,False
002970580-05,True,False,False,False
002970580-06,True,False,False,False
002970804-01,False,False,True,False
002970804-02,False,False,True,False
002970804-03,False,False,True,False
002970804-04,False,False,True,False
002970804-05,False,False,True,False
002970804-06,False,False,True,False
002971432-01,True,False,False,False
002973297-01,True,False,False,False
002973509-01,False,True,True,False
002973509-02,False,True,True,False
002973509-03,False,True,True,False
002973597-01,True,False,False,False
002973679-01,True,False,False,False
002974858-01,True,False,False,False
002975632-01,True,False,False,False
002975747-01,True,False,False,False
002975770-01,False,False,True,False
002975770-02,False,False,True,False
002975770-03,False,False,True,False
002983000-01,True,False,False,False
002983219-01,True,False,False,False
002985022-01,True,False,False,False
002985587-01,False,False,True,False
002985825-01,True,False,False,False
002985825-02,True,False,False,False
002987027-01,False,False,True,False
002987027-02,False,False,True,False
002987027-03,False,False,True,False
002987027-04,False,False,True,False
002987027-05,False,False,True,False
002987242-01,True,False,False,False
002987242-02,True,False,False,False
002987433-01,False,True,True,False
002987466-01,True,False,False,False
002987660-01,True,False,False,False
002988145-01,True,False,False,False
002988145-02,True,False,False,False
002989404-01,False,False,True,False
002989404-02,False,False,True,False
002989404-03,False,False,True,False
002989404-04,False,False,True,False
002989608-01,True,False,False,False
002989706-01,False,False,True,False
002989706-02,False,False,True,False
002989706-03,False,False,True,False
002991059-01,True,False,False,False
002991460-01,True,False,False,False
002992648-01,True,False,False,False
002992668-01,True,False,False,False
002992668-02,True,False,False,False
002992668-03,True,False,False,False
002992685-01,True,False,False,False
002993038-01,True,False,False,False
002993038-02,True,False,False,False
002994888-01,True,False,False,False
002995592-01,True,False,False,False
002995823-01,True,False,False,False
002996023-01,True,False,False,False
002996903-01,True,False,False,False
002996903-02,True,False,False,False
002996903-03,True,False,False,False
002997178-01,False,False,True,False
002997178-02,False,False,True,False
002997178-03,False,False,True,False
002997178-04,False,False,True,False
002997178-05,False,False,True,False
002997455-01,False,True,True,False
002998070-01,True,False,False,False
002998124-01,False,True,True,False
002998124-02,False,True,True,False
002998124-03,False,True,True,False
002998124-04,False,True,True,False
002998124-05,False,True,True,False
002998124-06,False,True,True,False
002998124-07,False,True,True,False
002998561-01,True,False,False,False
002998561-02,True,False,False,False
002998561-03,True,False,False,False
002998561-04,True,False,False,False
002998561-05,True,False,False,False
002998588-01,True,False,False,False
002998588-02,True,False,False,False
003001695-01,True,False,False,False
003001695-02,True,False,False,False
003002346-01,True,False,False,False
003002346-02,True,False,False,False
003003991-01,False,True,True,False
003003991-02,False,True,True,False
003003991-03,False,True,True,False
003097331-01,True,False,False,False
003097331-02,True,False,False,False
003097331-03,True,False,False,False
003097331-04,True,False,False,False
003097331-05,True,False,False,False
003097346-01,False,False,True,False
003097346-02,False,False,True,False
003097352-01,False,True,True,False
003097352-02,False,True,True,False
003097926-01,False,False,True,False
003097926-02,False,False,True,False
003098015-01,True,False,False,False
003098184-01,False,False,False,False
003098184-02,False,False,False,False
003098184-03,False,False,False,False
003098184-04,False,False,False,False
003098184-05,False,False,False,False
003098194-01,False,True,True,False
003098194-02,False,True,True,False
003098194-03,False,True,True,False
003098197-01,False,False,True,False
003098197-02,False,False,True,False
003098197-03,False,False,True,False
003098197-04,False,False,True,False
003098810-01,False,False,True,False
003099759-01,True,False,False,False
003100479-01,True,False,False,False
003100479-02,True,False,False,False
003100479-03,True,False,False,False
003100479-04,True,False,False,False
003102000-01,False,True,True,False
003102000-02,False,True,True,False
