#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
001576115-03 001576115 03   0.97020241 132.22446833    17.9566     384.2   2.7441    4.561   1.996  8254 4.083    0.02316 0.020941    1.60     18.3  30891.768
001576144-01 001576144 01   2.68554649 133.50169023     9.5416      16.1   2.5365    1.139   2.507  9181 4.003    0.04998 0.004165    4.18      6.9  16014.509
001576144-02 001576144 02 522.33661850 477.14728521    20.6117     106.9  12.6617    2.804   2.507  9181 4.003    1.67790 0.010249  218.52      2.6     14.211
001576144-03 001576144 03 499.94993740 133.43252369     8.3640     179.1   2.7694    3.854   2.507  9181 4.003    1.62961 0.014089  657.61      2.5     15.066
001576144-04 001576144 04 580.42208296 134.01751051     8.1759     118.3   7.5000    2.784   2.507  9181 4.003    1.80010 0.010177  594.30     -1.0     12.347
001577912-01 001577912 01   1.88510241 133.12527397     7.5910      68.3   2.3303    2.302   2.390  8220 3.949    0.03669 0.008825    2.97      7.1  17359.356
001577912-02 001577912 02   1.02008837 131.99897619     7.3589      48.3   2.9628    1.901   2.390  8220 3.949    0.02436 0.007288    1.61      6.7  39366.774
001717717-01 001717717 01 315.90816428 387.96415956   123.6015    3177.0  26.3869    7.647   0.696  4828 4.587    0.79949 0.100686   42.09     21.1      0.369
001717717-02 001717717 02 484.74682614 463.81297500    15.2893    1805.0  38.0030    3.754   0.696  4828 4.587    1.06360 0.049424   48.11     18.5      0.208
001717722-01 001717722 01 308.99105402 387.95753493    44.0881    1024.3  22.1158    2.227   0.688  4805 4.633    0.80982 0.029667   94.28      5.4      0.345
001718594-01 001718594 01 565.00714929 227.28134807    26.7881     620.9  46.0294    7.518   2.355  7796 3.972    1.65600 0.029254   31.82     24.7      6.693
001718594-02 001718594 02   2.71763838 131.69081904     9.9619      15.4   6.5494    1.147   2.355  7796 3.972    0.04719 0.004463    1.34     10.1   8243.660
001718665-01 001718665 01 350.03373320 399.51383255     8.2561     243.4  20.8453    2.850   1.730  5779 3.973    0.98055 0.015095   98.93      8.0      3.111
001719166-01 001719166 01 694.09229132 180.71397302     7.2260    1397.0   5.9901    2.478   0.606  4864 4.650    1.29307 0.037472  623.60      7.4      0.110
001720673-01 001720673 01 365.51779411 153.82306775    50.5129   15592.8  10.2557    7.706   0.569  4348 4.672    0.82233 0.124116  232.69     32.8      0.153
001720673-02 001720673 02 390.89433659 173.47242611    27.1035   22787.2   3.3017    8.352   0.569  4348 4.672    0.85996 0.134519 1026.11     23.6      0.140
001721361-01 001721361 01   3.01489584 133.52494747     7.8083      12.0  21.9802    1.056   2.710  9111 3.857    0.05084 0.003572    1.07      7.8  17543.180
001722506-01 001722506 01 414.72527857 459.04892188    11.7068     625.5   5.6665    1.391   0.502  4335 4.737    0.86498 0.025389  364.27      6.7      0.107
001722506-02 001722506 02 312.28950552 398.13936356     9.9974    4650.6  36.9882    6.359   0.502  4335 4.737    0.71593 0.116089   32.00     14.8      0.156
001722506-03 001722506 03 395.98100413 442.89449815    11.7999     761.2  15.8869    1.435   0.502  4335 4.737    0.83872 0.026191  160.90      7.0      0.113
001725193-01 001725193 01   2.96494480 132.01790447   931.0523   13108.6   5.7150   23.584   1.158  6095 4.371    0.04232 0.186634    2.75    425.4    925.918
001725193-02 001725193 02   0.98856161 131.83953597   751.0368    7198.8   6.7025   11.917   1.158  6095 4.371    0.02035 0.094310    1.20    744.0   4004.884
001726231-01 001726231 01 533.13721762 293.76300872     8.3143    2904.1  41.1483   16.475   1.680  6406 4.042    1.34213 0.089867   43.08     26.9      2.364
001726231-02 001726231 02 418.05603550 235.38621840     8.3717     495.9  16.1867    3.964   1.680  6406 4.042    1.14128 0.021620  154.28      7.2      3.269
001849235-01 001849235 01   0.78641232 132.27047164    11.9728     293.4   2.1606    2.872   1.667  6477 4.080    0.01781 0.015791    2.89      9.1  13808.503
001849235-02 001849235 02   0.78647330 131.81078542    10.2885     221.6   3.9004    2.652   1.667  6477 4.080    0.01781 0.014581    1.41      9.7  13807.075
001849341-01 001849341 01 440.64019636 171.24529748     7.3656     373.6  25.8483    1.182   0.581  4894 4.711    0.97320 0.018650  100.41      7.8      0.183
001865042-01 001865042 01   3.48190869 133.18535313     9.0149      51.8   2.2665    0.888   1.022  5405 4.374    0.04344 0.007961    5.41      9.6    423.274
001865567-01 001865567 01   1.34949266 132.60574925    11.2937       9.6   1.9816    0.707   1.979  9888 4.209    0.03161 0.003276    2.39     11.9  33578.762
001865567-02 001865567 02   0.67476752 131.52752673    10.6775       7.6   2.2587    0.627   1.979  9888 4.209    0.01991 0.002903    1.38     13.9  84609.634
001867630-01 001867630 01   1.38952865 131.90695988     7.7600      13.7   4.4406    1.957   4.658  6338 3.351    0.02952 0.003850    1.55      6.2  36003.628
001870480-01 001870480 01 288.67811067 298.77972687     8.7319     879.3   4.2529    2.111   0.708  5404 4.628    0.78583 0.027324  491.96      3.3      0.620
001870849-01 001870849 01   0.79687823 132.14173635    16.5450      77.2   2.6966    1.925   1.892  6835 4.065    0.01933 0.009324    1.42     14.2  18732.967
001870849-02 001870849 02   0.53125126 131.59900605    12.7622      69.7   1.2849    1.846   1.892  6835 4.065    0.01475 0.008941    1.73      8.6  32165.913
001870849-03 001870849 03   0.53125527 131.86808948    12.8675      96.1   1.8178    2.145   1.892  6835 4.065    0.01475 0.010391    1.42     14.1  32165.589
001871056-01 001871056 01 472.78451277 448.33661054     8.6800     261.3  13.0647    3.669   2.097  6207 3.963    1.35167 0.016035  191.78      8.4      3.201
001871056-02 001871056 02 391.19486708 301.92022595     7.9689     226.6  14.3287    3.351   2.097  6207 3.963    1.19131 0.014643  157.97      7.9      4.121
001872192-01 001872192 01   0.67108353 132.06851192    10.5893       2.8   1.1009    0.324   1.598  5314 3.981    0.01444 0.001860    2.28      0.2   8748.420
